Epoch 675 | Loss 4.8742
Epoch 676 | Loss 4.8676
Epoch 677 | Loss 4.8562
Epoch 678 | Loss 4.8358
Epoch 679 | Loss 4.7921
Epoch 680 | Loss 4.6975
Epoch 681 | Loss 4.7421
Epoch 682 | Loss 4.7517
Epoch 683 | Loss 4.7980
Epoch 684 | Loss 4.7105
Epoch 685 | Loss 4.7731
Epoch 686 | Loss 4.6695
Epoch 687 | Loss 4.7641
Epoch 688 | Loss 4.6761
Epoch 689 | Loss 4.5905
Epoch 690 | Loss 4.7047
Epoch 691 | Loss 4.6986
Epoch 692 | Loss 4.7952
Epoch 693 | Loss 4.6639
Epoch 694 | Loss 4.6409
Epoch 695 | Loss 4.6282
Epoch 696 | Loss 4.7205
Epoch 697 | Loss 4.6826
Epoch 698 | Loss 4.6413
Epoch 699 | Loss 4.6508
Epoch 700 | Loss 4.6690
Epoch 701 | Loss 4.6326
Epoch 702 | Loss 4.6153
Epoch 703 | Loss 4.6343
Epoch 704 | Loss 4.6408
Epoch 705 | Loss 4.4822
Epoch 706 | Loss 4.6573
Epoch 707 | Loss 4.5222
Epoch 708 | Loss 4.6586
Epoch 709 | Loss 4.6425
Epoch 710 | Loss 4.6515
Epoch 711 | Loss 4.6155
Epoch 712 | Loss 4.5797
Epoch 713 | Loss 4.6457
Epoch 714 | Loss 4.5721
Epoch 715 | Loss 4.6291
Epoch 716 | Loss 4.5384
Epoch 717 | Loss 4.5051
Epoch 718 | Loss 4.4303
Epoch 719 | Loss 4.4843
Epoch 720 | Loss 4.6626
Epoch 721 | Loss 4.5557
Epoch 722 | Loss 4.4690
Epoch 723 | Loss 4.5942
Epoch 724 | Loss 4.4746
Epoch 725 | Loss 4.5990
Epoch 726 | Loss 4.5100
Epoch 727 | Loss 4.5702
Epoch 728 | Loss 4.4620
Epoch 729 | Loss 4.5536
Epoch 730 | Loss 4.5835
Epoch 731 | Loss 4.4049
Epoch 732 | Loss 4.4773
Epoch 733 | Loss 4.3120
Epoch 734 | Loss 4.3876
Epoch 735 | Loss 4.4337
Epoch 736 | Loss 4.3662
Epoch 737 | Loss 4.3784
Epoch 738 | Loss 4.5169
Epoch 739 | Loss 4.4442
Epoch 740 | Loss 4.5163
Epoch 741 | Loss 4.5192
Epoch 742 | Loss 4.3659
Epoch 743 | Loss 4.4386
Epoch 744 | Loss 4.4344
Epoch 745 | Loss 4.4021
Epoch 746 | Loss 4.3806
Epoch 747 | Loss 4.4658
Epoch 748 | Loss 4.4943
Epoch 749 | Loss 4.4916
Epoch 750 | Loss 4.3824
Epoch 751 | Loss 4.3855
Epoch 752 | Loss 4.4201
Epoch 753 | Loss 4.2693
Epoch 754 | Loss 4.2571
Epoch 755 | Loss 4.3836
Epoch 756 | Loss 4.2838
Epoch 757 | Loss 4.2192
