Loading dataset: roli
  0%|          | 0/184 [00:00<?, ?it/s] 11%|█▏        | 21/184 [00:00<00:00, 200.71it/s] 23%|██▎       | 42/184 [00:00<00:01, 103.96it/s] 34%|███▍      | 63/184 [00:00<00:00, 134.28it/s] 44%|████▍     | 81/184 [00:00<00:00, 130.95it/s] 55%|█████▌    | 102/184 [00:00<00:00, 151.91it/s] 65%|██████▍   | 119/184 [00:00<00:00, 134.47it/s] 76%|███████▌  | 139/184 [00:01<00:00, 132.08it/s] 88%|████████▊ | 161/184 [00:01<00:00, 151.52it/s] 99%|█████████▉| 183/184 [00:01<00:00, 167.17it/s]100%|██████████| 184/184 [00:01<00:00, 146.98it/s]
  0%|          | 0/50 [00:00<?, ?it/s] 24%|██▍       | 12/50 [00:00<00:00, 77.13it/s] 40%|████      | 20/50 [00:00<00:00, 72.72it/s] 82%|████████▏ | 41/50 [00:00<00:00, 123.44it/s]100%|██████████| 50/50 [00:00<00:00, 118.38it/s]
Start training.
Epoch 479 | Loss 6.7842
Epoch 480 | Loss 6.7942
Epoch 481 | Loss 6.7909
Epoch 482 | Loss 6.7883
Epoch 483 | Loss 6.7928
Epoch 484 | Loss 6.7946
Epoch 485 | Loss 6.7857
Epoch 486 | Loss 6.7841
Epoch 487 | Loss 6.7963
Epoch 488 | Loss 6.7867
Epoch 489 | Loss 6.7991
Epoch 490 | Loss 6.7884
Epoch 491 | Loss 6.8009
Epoch 492 | Loss 6.8015
Epoch 493 | Loss 6.8001
Epoch 494 | Loss 6.7936
Epoch 495 | Loss 6.8024
Epoch 496 | Loss 6.8040
Epoch 497 | Loss 6.8068
Epoch 498 | Loss 6.8115
Epoch 499 | Loss 6.8127
Epoch 500 | Loss 6.8117
Save model after epoch 500 as ckpt_500.pt.
Epoch 501 | Loss 6.7989
Epoch 502 | Loss 6.8174
Epoch 503 | Loss 6.8151
Epoch 504 | Loss 6.8034
Epoch 505 | Loss 6.7907
Epoch 506 | Loss 6.8200
Epoch 507 | Loss 6.8047
Epoch 508 | Loss 6.8169
Epoch 509 | Loss 6.8168
Epoch 510 | Loss 6.8163
Epoch 511 | Loss 6.8071
Epoch 512 | Loss 6.8072
Epoch 513 | Loss 6.8087
Epoch 514 | Loss 6.8064
Epoch 515 | Loss 6.8148
Epoch 516 | Loss 6.8221
Epoch 517 | Loss 6.8160
Epoch 518 | Loss 6.8105
Epoch 519 | Loss 6.8207
Epoch 520 | Loss 6.8161
Epoch 521 | Loss 6.8262
Epoch 522 | Loss 6.8227
Epoch 523 | Loss 6.8221
Epoch 524 | Loss 6.8204
Epoch 525 | Loss 6.8154
Epoch 526 | Loss 6.8229
Epoch 527 | Loss 6.8228
Epoch 528 | Loss 6.8215
Epoch 529 | Loss 6.8255
Epoch 530 | Loss 6.8295
Epoch 531 | Loss 6.8276
Epoch 532 | Loss 6.8306
Epoch 533 | Loss 6.8246
Epoch 534 | Loss 6.8338
Epoch 535 | Loss 6.8216
Epoch 536 | Loss 6.8308
Epoch 537 | Loss 6.8311
Epoch 538 | Loss 6.8285
Epoch 539 | Loss 6.8416
Epoch 540 | Loss 6.8320
Epoch 541 | Loss 6.8371
Epoch 542 | Loss 6.8359
Epoch 543 | Loss 6.8363
Epoch 544 | Loss 6.8293
Epoch 545 | Loss 6.8400
Epoch 546 | Loss 6.8318
Epoch 547 | Loss 6.8414
Epoch 548 | Loss 6.8496
Epoch 549 | Loss 6.8325
Epoch 550 | Loss 6.8472
Epoch 551 | Loss 6.8424
Epoch 552 | Loss 6.8469
Epoch 553 | Loss 6.8431
Epoch 554 | Loss 6.8404
Epoch 555 | Loss 6.8461
Epoch 556 | Loss 6.8466
Epoch 557 | Loss 6.8409
Epoch 558 | Loss 6.8396
Epoch 559 | Loss 6.8423
Epoch 560 | Loss 6.8433
Epoch 561 | Loss 6.8434
Epoch 562 | Loss 6.8434
Epoch 563 | Loss 6.8483
Epoch 564 | Loss 6.8440
Epoch 565 | Loss 6.8453
Epoch 566 | Loss 6.8449
Epoch 567 | Loss 6.8494
Epoch 568 | Loss 6.8491
Epoch 569 | Loss 6.8522
Epoch 570 | Loss 6.8490
Epoch 571 | Loss 6.8553
Epoch 572 | Loss 6.8490
Epoch 573 | Loss 6.8465
Epoch 574 | Loss 6.8547
Epoch 575 | Loss 6.8531
Epoch 576 | Loss 6.8519
Epoch 577 | Loss 6.8521
Epoch 578 | Loss 6.8471
Epoch 579 | Loss 6.8580
Epoch 580 | Loss 6.8611
Epoch 581 | Loss 6.8556
Epoch 582 | Loss 6.8524
Epoch 583 | Loss 6.8543
Epoch 584 | Loss 6.8567
Epoch 585 | Loss 6.8504
Epoch 586 | Loss 6.8621
Epoch 587 | Loss 6.8646
Epoch 588 | Loss 6.8607
Epoch 589 | Loss 6.8595
Epoch 590 | Loss 6.8658
Epoch 591 | Loss 6.8619
Epoch 592 | Loss 6.8637
Epoch 593 | Loss 6.8597
Epoch 594 | Loss 6.8598
Epoch 595 | Loss 6.8635
Epoch 596 | Loss 6.8599
Epoch 597 | Loss 6.8573
Epoch 598 | Loss 6.8639
Epoch 599 | Loss 6.8595
Epoch 600 | Loss 6.8672
Epoch 601 | Loss 6.8666
Epoch 602 | Loss 6.8702
Epoch 603 | Loss 6.8643
Epoch 604 | Loss 6.8632
Epoch 605 | Loss 6.8640
Epoch 606 | Loss 6.8661
Epoch 607 | Loss 6.8597
Epoch 608 | Loss 6.8626
Epoch 609 | Loss 6.8659
Epoch 610 | Loss 6.8649
Epoch 611 | Loss 6.8706
Epoch 612 | Loss 6.8641
Epoch 613 | Loss 6.8685
Epoch 614 | Loss 6.8663
Epoch 615 | Loss 6.8657
Epoch 616 | Loss 6.8694
Epoch 617 | Loss 6.8705
Epoch 618 | Loss 6.8690
Epoch 619 | Loss 6.8715
Epoch 620 | Loss 6.8697
Epoch 621 | Loss 6.8710
Epoch 622 | Loss 6.8708
Epoch 623 | Loss 6.8724
Epoch 624 | Loss 6.8711
Epoch 625 | Loss 6.8694
Epoch 626 | Loss 6.8682
Epoch 627 | Loss 6.8756
Epoch 628 | Loss 6.8738
Epoch 629 | Loss 6.8717
Epoch 630 | Loss 6.8724
Epoch 631 | Loss 6.8740
Epoch 632 | Loss 6.8712
Epoch 633 | Loss 6.8716
Epoch 634 | Loss 6.8744
Epoch 635 | Loss 6.8749
Epoch 636 | Loss 6.8778
Epoch 637 | Loss 6.8774
Epoch 638 | Loss 6.8728
Epoch 639 | Loss 6.8743
Epoch 640 | Loss 6.8786
Epoch 641 | Loss 6.8780
Epoch 642 | Loss 6.8774
Epoch 643 | Loss 6.8741
Epoch 644 | Loss 6.8786
Epoch 645 | Loss 6.8775
Epoch 646 | Loss 6.8777
Epoch 647 | Loss 6.8776
Epoch 648 | Loss 6.8767
Epoch 649 | Loss 6.8761
Epoch 650 | Loss 6.8777
Epoch 651 | Loss 6.8766
Epoch 652 | Loss 6.8736
Epoch 653 | Loss 6.8756
Epoch 654 | Loss 6.8777
Epoch 655 | Loss 6.8776
